"Special Price:","Now only:"
"My Wishlist","Wunschliste"
"My Wishlist (%d item)","Wunschliste (%d)"
"My Wishlist (%d items)","Wunschliste (%d)"
"My Account","Mein Konto"
"Cart","WARENKORB"
"View Cart","View Cart"
"View all items in your shopping cart","View all items in your shopping cart"
"View All","Alle ansehen"
"Compare","Vergleichen"
"Compare Products","Produkte vergleichen"
"Compare all selected items","Alle ausgewählten Produkte vergleichen"
"Currency","Währung"
"Language","Sprache"
"Sign Up","Sign Up"
"Enter your e-mail","Geben Sie Ihre E-Mail Adresse ein"
"Click to see more products from %s","Click to see more products from %s"
"Related Products","Related"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","Neu"
"Sale","Angebot"
"Categories","Kategorien"
"Menu","Menü"
"Email to a Friend","Share"
"Product Tags","Tags"
"Product Description","Produktbeschreibung"
"Additional Information","Weitere Informationen"
"Other Products","andere Produkte"
